candidate_id,candidate_name,candidate_type,current_status,address_or_location,historical_activity,pollutant_relevance,linked_pollutant_families,linked_wells_or_focus_area,evidence_grade,evidence_source_type,source_id,page_ref_or_excerpt_ref,raw_text_verified,web_verified,chemical_fit,spatial_hydrogeological_fit,confidence,uncertainty_note,candidate_role
SC-001,תדירגן,ציפוי מתכות ועיבוד שבבי,closed_remediated,"המלאכה 19-21, חולון",1970-2003,"TCE, PCE, כרומאט, ציאנידים",CVOC,נת תדירגן א.ת.חולון;נת תדירגן 1;נת תדירגן 2;נד המלאכה מ2,A+B,raw_text+findings_json+report_2021,RPT2021;HST2007;ECO2012A;ECO2009,RPT2021 p.31; HST2007 p.90; ECO2012A p.7,yes,no,yes,yes,HIGH,post-remediation 2013-2020 may have changed plume; current TCE level needs verification,primary_focus
SC-002,תדיראן קשר (אלביט),ציפוי מתכות ומיקרואלקטרוניקה,closed (Elbit successor active at different address),גוש 6037/6038 (היסטורי); המרכבה 29 (אלביט נוכחי),1970-2000,"TCE, PCE, DCE, 1,2-DCA, כרומאט",CVOC,נת חולון 11;נת חולון 5,A+B,raw_text+findings_json+report_2021,RPT2021;HST2007;ECO2012A,RPT2021 p.31; ECO2012A p.5,yes,yes (Elbit operational),yes,yes,HIGH,Elbit at new address (HaMerkava 29) is a SEPARATE C-grade candidate; historical Tadiran-Kesher site is the contaminant source,primary_focus
SC-003,תרשיש (היוצר + הסולל),ציפוי מתכות,closed_or_relocated,"היוצר/הסולל, חולון",1964/1968-2007/2009,"TCE, כרומאט, PCE, קדמיום",CVOC+METALS,נת חולון 3,A+B,raw_text+findings_json+report_2021,RPT2021;HST2007;ECO2012A,RPT2021 p.31,yes,no,yes,yes,HIGH,current operational status not confirmed by web search,primary_focus
SC-004,אמינוגרף,ציפוי מתכות,closed (1982),אזור התעשייה חולון,1970-1982,"TCE, DCE, PCE, 1,2-DCA",CVOC,נח חולון 8;נת חולון 7,A+B,raw_text+findings_json,HST2007;ECO2012A,ECO2012A p.8,yes,no,yes,yes,HIGH,facility closed >40 years ago; legacy contamination still active per 2009 measurements,primary_focus
SC-005,כור מתכת,ציפוי מתכות,closed_or_unknown,אזור התעשייה חולון,1953-1999,"TCE, DCE, 1,4-דיאוקסן, כרומאט",CVOC+METALS,נת חולון 1,A+B,raw_text+findings_json+report_2021,RPT2021;ECO2012A,RPT2021 p.31,yes,no,partial,yes,MEDIUM,2021 report explicitly states ambiguity between Kor-Metal and Chromat sites,primary_focus
SC-006,בהק,ציפוי מתכות,closed,"~300 dunam separate plume area, חולון",1978-2007,"TCE, PCE, DCE",CVOC,נת חולון 16;מק חולון 5,A+B,raw_text+findings_json,HST2007;ECO2012A,ECO2012A p.10,yes,no,yes,yes,HIGH,plume front reached mq-holon-5 supply well; remediation needed; current status not confirmed,primary_focus
SC-007,אמקור פליז,ציפוי מתכות,closed (~1996-1998),אזור התעשייה חולון,1960-1996/1998,"TCE, PCE, DCE, כרומאט, קדמיום",CVOC+METALS,נח חולון 9;נת חולון 14,A+B,raw_text+findings_json,HST2007;ECO2012A,HST2007 p.12,yes,no,yes,yes,HIGH,Cd levels in nearby wells under-investigated; PFAS not measured,primary_focus
SC-008,"אר""ן מטל / רימטל",מחזור מתכות,unknown (2008+),"המנור 54, חולון",1992-2008+,"ניקל, ברזל, אלומיניום, עופרת, נחושת",METALS,נת ארן מטל חולון;נת ארן מטל חולון 1;מק חולון 5,A+B,raw_text+findings_json,ECO2009;HST2007,"ECO2009 p.2-3,87",yes,no,yes,yes (200m from mq-holon-5 supply well),HIGH,Ni levels at facility yard 40x DWS; trend rising 2005-2008; post-2008 status unknown,primary_focus
SC-009,אלגונל,ציפוי מתכות,closed (2006),"הפטיש 6, חולון",1962-2006,"TCE, PCE, כרומאט, קדמיום",CVOC,,A+B,findings_json+report_2021,RPT2021;HST2007,HST2007 p.74,yes,no,yes,partial (recommended ntx-19 not yet drilled),HIGH,soil gas survey 2006 only; no dedicated monitoring well drilled,primary_focus
SC-010,תחנת תדלוק אגד,תחנת תדלוק ותפעול רכב,active (Bus terminal still operating),"מחניון אגד, חולון",1960s-עכשיו,"BTEX, דלק, מזהמי דלק",FUEL,נד אגד אזור 1;נד אגד אזור 3;נד אגד אזור 7;נד אגד אזור 9,A+B,raw_text+findings_json,HST2007;ECO2012A,ECO2012A p.10,yes,partial,yes,yes,HIGH,separate FUEL plume from industrial CVOC; multiple stations on site complicate attribution,primary_focus
